epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,145373,0.21085,0.12084,0.79402,0.99389,0.98897,0.99396,0.96691,0.20831,0.11915,0.82588,9.2875e-05,9.2875e-05,9.2875e-05
88,147055,0.20707,0.12056,0.79526,0.99421,0.99017,0.99378,0.96719,0.20619,0.12095,0.82522,8.66875e-05,8.66875e-05,8.66875e-05
89,148730,0.20638,0.11625,0.79426,0.99594,0.99156,0.99428,0.96869,0.2043,0.10902,0.82774,8.05e-05,8.05e-05,8.05e-05
90,150415,0.20783,0.12076,0.79712,0.99222,0.99056,0.99417,0.96838,0.20393,0.11608,0.82153,7.43125e-05,7.43125e-05,7.43125e-05
91,152098,0.17524,0.1061,0.78982,0.9939,0.98953,0.99407,0.96746,0.2063,0.11422,0.82878,6.8125e-05,6.8125e-05,6.8125e-05
92,153764,0.16808,0.10466,0.78486,0.99357,0.98943,0.99371,0.96796,0.20386,0.11506,0.82754,6.19375e-05,6.19375e-05,6.19375e-05
93,155455,0.16562,0.10256,0.7847,0.99396,0.98836,0.9938,0.96805,0.20347,0.11379,0.82778,5.575e-05,5.575e-05,5.575e-05
94,157122,0.15806,0.09703,0.78357,0.99396,0.98862,0.9933,0.96724,0.19971,0.11373,0.82668,4.95625e-05,4.95625e-05,4.95625e-05
95,158800,0.16122,0.10008,0.7858,0.99136,0.98885,0.992,0.96564,0.19834,0.11221,0.82694,4.3375e-05,4.3375e-05,4.3375e-05
96,160470,0.15667,0.0961,0.78558,0.99149,0.98787,0.99205,0.96608,0.19907,0.11246,0.82769,3.71875e-05,3.71875e-05,3.71875e-05
97,162130,0.15594,0.09568,0.78484,0.99083,0.9886,0.9911,0.96452,0.19686,0.11445,0.82707,3.1e-05,3.1e-05,3.1e-05
98,163817,0.15403,0.09343,0.78275,0.9922,0.98731,0.9911,0.96477,0.19564,0.11474,0.82821,2.48125e-05,2.48125e-05,2.48125e-05
99,165483,0.15248,0.09384,0.78561,0.99394,0.98792,0.99123,0.9645,0.19494,0.11296,0.82802,1.8625e-05,1.8625e-05,1.8625e-05
100,167163,0.15021,0.09315,0.78266,0.99198,0.98895,0.99108,0.96431,0.19413,0.11355,0.82781,1.24375e-05,1.24375e-05,1.24375e-05
